Station,Services,Div,Line,Opened,Borough,Neighborhood,Ridership (2019),Rank,
125th Street,1,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Manhattanville,"2,368,025",199,
125th Street,2 3,IRT,Lenox Avenue Line,"November 23, 1904",Manhattan,Harlem,"4,644,262",101,
125th Street,4 5 6,IRT,Lexington Avenue Line,"July 17, 1918",Manhattan,East Harlem,"8,554,857",37,
135th Street,B C,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Harlem,"1,743,921",268,
135th Street,2 3,IRT,Lenox Avenue Line,"November 23, 1904",Manhattan,Harlem,"4,268,823",115,
137th Street–City College,1,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Hamilton Heights,"3,874,783",126,
138th Street–Grand Concourse,4 5,IRT,Jerome Avenue Line,"July 17, 1918",The Bronx,Mott Haven,"1,035,878",356,
145th Street†,A B C D,IND,"Eighth Avenue Line,
Concourse Line","September 10, 1932",Manhattan,Harlem,"7,464,653",49,
145th Street,1,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Hamilton Heights,"2,936,613",169,
145th Street,3,IRT,Lenox Avenue Line,"November 23, 1904",Manhattan,Harlem,"954,825",368,
149th Street–Grand Concourse,2 5 4,IRT,Jerome Avenue Line,"June 2, 1917",The Bronx,Mott Haven,"3,931,908",123,
,,IRT,White Plains Road Line,"July 10, 1905",,,,,
155th Street,C,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Washington Heights,"895,036",373,
155th Street,D,IND,Concourse Line,"July 1, 1933",Manhattan,Harlem,"1,123,868",341,
157th Street,1,IRT,Broadway–Seventh Avenue Line,"November 12, 1904",Manhattan,Washington Heights,"3,739,786",134,
161st Street–Yankee Stadium,D 4,IND,Concourse Line,"July 1, 1933",The Bronx,Highbridge,"8,254,928",40,
,4,IRT,Jerome Avenue Line,"June 2, 1917",,,,,
163rd Street–Amsterdam Avenue,C,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Washington Heights,"1,390,312",309,
167th Street,D,IND,Concourse Line,"July 1, 1933",The Bronx,Highbridge,"2,734,530",178,
167th Street,4,IRT,Jerome Avenue Line,"June 2, 1917",The Bronx,Highbridge,"2,653,237",182,
168th Street†,A C E 1,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Washington Heights,"6,156,288",67,
,1,IRT,Broadway–Seventh Avenue Line,"April 14, 1906",,,,,
169th Street,F,IND,Queens Boulevard Line,"April 24, 1937",Queens,Jamaica,"2,465,120",194,
170th Street,D,IND,Concourse Line,"July 1, 1933",The Bronx,Highbridge,"2,130,461",222,
170th Street,4,IRT,Jerome Avenue Line,"June 2, 1917",The Bronx,Highbridge,"2,487,611",192,
174th Street,2 5,IRT,White Plains Road Line,"November 26, 1904",The Bronx,Crotona Park East,"2,057,118",230,
174th–175th Streets,D,IND,Concourse Line,"July 1, 1933",The Bronx,Tremont,"1,518,260",293,
175th Street,A,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Washington Heights,"4,182,625",118,
176th Street,4,IRT,Jerome Avenue Line,"June 2, 1917",The Bronx,Morris Heights,"1,713,696",272,
181st Street,A,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Washington Heights,"3,404,841",147,
181st Street,1,IRT,Broadway–Seventh Avenue Line,"May 30, 1906",Manhattan,Washington Heights,"3,523,536",143,
182nd–183rd Streets,D,IND,Concourse Line,"July 1, 1933",The Bronx,Fordham,"1,513,443",294,
183rd Street,4,IRT,Jerome Avenue Line,"June 2, 1917",The Bronx,University Heights,"1,779,224",261,
190th Street,A,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Washington Heights,"1,535,450",292,
191st Street,1,IRT,Broadway–Seventh Avenue Line,"January 14, 1911",Manhattan,Washington Heights,"2,333,160",201,
207th Street,1,IRT,Broadway–Seventh Avenue Line,"April 1, 1907",Manhattan,Inwood,"1,853,146",251,
215th Street,1,IRT,Broadway–Seventh Avenue Line,"March 12, 1906",Manhattan,Inwood,"527,505",408,
